격자순번,격자100m,위도,경도,실제값,예측값,시계열예측값
209,다바806066,36.25690432,127.2846038,0,0,0.86656827
210,다바806067,36.25780586,127.2846013,0,0,0.876024
211,다바806068,36.25870741,127.2845989,0,0,0.87602025
212,다바806069,36.25960896,127.2845964,0,0,0.876018
213,다바807042,36.23526909,127.285776,0,0,0.87602574
214,다바807043,36.23617064,127.2857736,0,0,0.8598715
215,다바807044,36.2370722,127.2857711,0,0,0.86585075
216,다바807045,36.23797375,127.2857686,0,0,0.86623156
217,다바807046,36.2388753,127.2857662,0,0,0.8760232
218,다바807047,36.23977685,127.2857637,0,0,0.876017
219,다바807048,36.2406784,127.2857613,0,0,0.8760187
220,다바807049,36.24157996,127.2857588,0,0,0.87602246
221,다바807050,36.24248151,127.2857563,0,0,0.86542046
222,다바807051,36.24338306,127.2857539,0,0,0.85189515
223,다바807052,36.24428461,127.2857514,0,0,0.8433286
224,다바807053,36.24518616,127.285749,0,0,0.6633553
225,다바807054,36.24608771,127.2857465,0,0,0.00065559
226,다바807055,36.24698926,127.285744,0,0,0.86264974
227,다바807056,36.24789081,127.2857416,0,0,0.67047125
228,다바807057,36.24879237,127.2857391,0,0,0.67590547
229,다바807058,36.24969392,127.2857367,0,0,0.85777956
230,다바807059,36.25059547,127.2857342,0,0,0.00065559
231,다바807060,36.25149702,127.2857317,0,0,0.00065559
232,다바807061,36.25239857,127.2857293,0,0,0.00065559
233,다바807062,36.25330012,127.2857268,0,0,0.8604361
234,다바807063,36.25420167,127.2857244,0,0,0.00065559
235,다바807064,36.25510322,127.2857219,0,0,0.86200523
236,다바807065,36.25600477,127.2857194,0,0,0.00065559
237,다바807066,36.25690631,127.285717,0,0,0.86577344
238,다바807067,36.25780786,127.2857145,0,0,0.8760211
239,다바807068,36.25870941,127.285712,0,0,0.87600154
240,다바807069,36.25961096,127.2857096,0,0,0.68037426
241,다바808042,36.23527108,127.2868889,0,0,0.865571
242,다바808043,36.23617263,127.2868864,0,0,0.86424536
243,다바808044,36.23707418,127.286884,0,0,0.86548173
244,다바808045,36.23797574,127.2868815,0,0,0.865302
245,다바808046,36.23887729,127.2868791,0,0,0.8760277
246,다바808047,36.23977884,127.2868766,1,0,0.87602043
247,다바808048,36.24068039,127.2868742,0,0,0.00065559
248,다바808049,36.24158194,127.2868717,0,0,0.8654852
249,다바808050,36.2424835,127.2868693,0,0,0.8637374
250,다바808051,36.24338505,127.2868668,0,0,0.00065559
251,다바808052,36.2442866,127.2868644,0,0,0.7476925
252,다바808053,36.24518815,127.286862,0,0,0.00065559
253,다바808054,36.2460897,127.2868595,0,0,0.00065559
254,다바808055,36.24699125,127.2868571,0,0,0.00065559
255,다바808056,36.2478928,127.2868546,0,0,0.8631064
256,다바808057,36.24879435,127.2868522,0,0,0.8630557
257,다바808058,36.2496959,127.2868497,0,0,0.00065559
258,다바808059,36.25059745,127.2868473,0,0,0.86607087
259,다바808060,36.251499,127.2868448,0,0,0.00065559
260,다바808061,36.25240056,127.2868424,0,0,0.8430921
261,다바808062,36.25330211,127.2868399,0,0,0.00065559
