grid_idx,격자100m,위도,경도
458,다바814041,36.23438123,127.2935683
459,다바814042,36.23528279,127.2935659
460,다바814043,36.23618434,127.2935636
461,다바814044,36.23708589,127.2935612
462,다바814045,36.23798744,127.2935588
463,다바814046,36.238889,127.2935565
464,다바814047,36.23979055,127.2935541
465,다바814048,36.2406921,127.2935517
466,다바814049,36.24159365,127.2935494
467,다바814050,36.24249521,127.293547
468,다바814051,36.24339676,127.2935446
469,다바814052,36.24429831,127.2935422
470,다바814053,36.24519986,127.2935399
471,다바814054,36.24610141,127.2935375
472,다바814055,36.24700296,127.2935351
473,다바814056,36.24790451,127.2935328
474,다바814057,36.24880607,127.2935304
475,다바814058,36.24970762,127.293528
476,다바814059,36.25060917,127.2935256
477,다바814060,36.25151072,127.2935233
478,다바814061,36.25241227,127.2935209
479,다바814062,36.25331382,127.2935185
480,다바814063,36.25421537,127.2935161
481,다바814064,36.25511692,127.2935138
482,다바814065,36.25601847,127.2935114
483,다바814066,36.25692002,127.293509
484,다바814067,36.25782157,127.2935067
485,다바814068,36.25872312,127.2935043
486,다바814069,36.25962467,127.2935019
487,다바814070,36.26052622,127.2934995
488,다바814071,36.26142777,127.2934972
489,다바814072,36.26232932,127.2934948
490,다바814073,36.26323086,127.2934924
491,다바814074,36.26413241,127.29349
492,다바815029,36.2235645,127.2947094
493,다바815030,36.22446605,127.2947071
494,다바815031,36.22536761,127.2947047
495,다바815032,36.22626916,127.2947024
496,다바815033,36.22717072,127.2947
497,다바815034,36.22807227,127.2946976
498,다바815035,36.22897382,127.2946953
499,다바815036,36.22987538,127.2946929
500,다바815037,36.23077693,127.2946906
501,다바815038,36.23167849,127.2946882
502,다바815039,36.23258004,127.2946859
503,다바815040,36.23348159,127.2946835
504,다바815041,36.23438315,127.2946811
505,다바815042,36.2352847,127.2946788
506,다바815043,36.23618625,127.2946764
507,다바815044,36.23708781,127.2946741
508,다바815045,36.23798936,127.2946717
509,다바815046,36.23889091,127.2946694
510,다바815047,36.23979246,127.294667
511,다바815048,36.24069402,127.2946646
512,다바815049,36.24159557,127.2946623
513,다바815050,36.24249712,127.2946599
514,다바815051,36.24339867,127.2946576
515,다바815052,36.24430022,127.2946552
516,다바815053,36.24520178,127.2946529
